Business,Shark,Invested Amount,Category,Entrepreneur Gender,Total Deals,Closed Deals,Percent Closed
Potato Parcel,Kevin O'Leary,50000,Media/Entertainment,Male,23,14,0.608695652
Toor,Kevin O'Leary,250000,Lifestyle/Home,Male,159,98,0.616352201
Inboard,Kevin O'Leary,375000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Digiwrap,Kevin O'Leary,150000,Lifestyle/Home,Male,159,98,0.616352201
Pinblock,Kevin O'Leary,100000,Children/Education,Male,102,62,0.607843137
Rareform,Kevin O'Leary,300000,Fashion/Beauty,Male,178,93,0.52247191
Apollo Peak,Kevin O'Leary,100000,Pet Products,Male,43,25,0.581395349
Wine & Design,Kevin O'Leary,500000,Media/Entertainment,Mixed Team,23,14,0.608695652
Bridal Buddy,Kevin O'Leary,37500,Fashion/Beauty,Female,178,93,0.52247191
benjilock,Kevin O'Leary,200000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
DrainWig,Kevin O'Leary,300000,Lifestyle/Home,Mixed Team,159,98,0.616352201
WaiveCar,Kevin O'Leary,500000,Automotive,Male,12,9,0.75
Snarky Tea,Kevin O'Leary,75000,Food and Beverage,Female,202,115,0.569306931
Frywall,Kevin O'Leary,50000,Lifestyle/Home,Male,159,98,0.616352201
The Pop,Kevin O'Leary,250000,Children/Education,Female,102,62,0.607843137
RounderBum,Kevin O'Leary,150000,Fashion/Beauty,Male,178,93,0.52247191
Le-Glue,Kevin O'Leary,80000,Children/Education,Male,102,62,0.607843137
bundil,Kevin O'Leary,100000,Software/Tech,Male,63,34,0.53968254
Cup Board Pro,Kevin O'Leary,20000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Pop It Pal,Kevin O'Leary,250000,Uncertain/Other,Mixed Team,9,4,0.444444444
Monti Kids,Kevin O'Leary,200000,Children/Education,Female,102,62,0.607843137
ToyBox,Kevin O'Leary,150000,Software/Tech,Mixed Team,63,34,0.53968254
HAVEN Lock,Kevin O'Leary,600000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Basepaws,Kevin O'Leary,125000,Pet Products,Female,43,25,0.581395349
DeskView,Kevin O'Leary,150000,Lifestyle/Home,Male,159,98,0.616352201
BatBnB,Kevin O'Leary,100000,Lifestyle/Home,Male,159,98,0.616352201
Blueland,Kevin O'Leary,270000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Boost Oxygen,Kevin O'Leary,1000000,Health/Wellness,Male,48,28,0.583333333
Aira,Kevin O'Leary,166666.6667,Software/Tech,Male,63,34,0.53968254
EZC Pak,Kevin O'Leary,125000,Health/Wellness,Male,48,28,0.583333333
The Measuring Shovel,Kevin O'Leary,20000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Beardaments,Kevin O'Leary,150000,Business Services,Male,29,11,0.379310345
Kreyòl Essence,Kevin O'Leary,400000,Health/Wellness,Mixed Team,48,28,0.583333333
Bertello,Kevin O'Leary,120000,Lifestyle/Home,Male,159,98,0.616352201
Bohana,Kevin O'Leary,200000,Food and Beverage,Female,202,115,0.569306931
Goumi,Kevin O'Leary,1000000,Children/Education,Female,102,62,0.607843137
Critter Pricker,Kevin O'Leary,115000,Lifestyle/Home,Male,159,98,0.616352201
First Saturday Lime,Kevin O'Leary,100000,Lifestyle/Home,Mixed Team,159,98,0.616352201
MC Squares,Kevin O'Leary,300000,Lifestyle/Home,Male,159,98,0.616352201
Turbobaster,Guest,35000,Food and Beverage,Female,202,115,0.569306931
Element Bars,Guest,150000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
The UROClub,Guest,25000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Caffeindicator,Guest,200000,Food and Beverage,Male,202,115,0.569306931
Lipstick Remix,Guest,35000,Fashion/Beauty,Female,178,93,0.52247191
Nubrella,Guest,100000,Fashion/Beauty,Male,178,93,0.52247191
Hydromax,Guest,50000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Aldo Orta Jewelry,Guest,90000,Fashion/Beauty,Male,178,93,0.52247191
CitiKitty,Guest,100000,Pet Products,Female,43,25,0.581395349
Tree T Pee,Guest,150000,Green/CleanTech,Male,11,6,0.545454545
The Cookie Dough Cafe,Guest,50000,Food and Beverage,Female,202,115,0.569306931
Kitchen Safe,Guest,50000,Food and Beverage,Male,202,115,0.569306931
Shark Wheel,Guest,75000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
the beebo,Guest,100000,Children/Education,Male,102,62,0.607843137
Foot Cardigan,Guest,125000,Fashion/Beauty,Male,178,93,0.52247191
The Two Guys Bowtie Company,Guest,75000,Fashion/Beauty,Male,178,93,0.52247191
Rent Like a Champ,Guest,100000,Software/Tech,Male,63,34,0.53968254
Hatch Baby,Guest,250000,Children/Education,Mixed Team,102,62,0.607843137
Bee Free Honee,Guest,70000,Food and Beverage,Female,202,115,0.569306931
Slyde Handboards,Guest,100000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
brightwheel,Guest,300000,Children/Education,Male,102,62,0.607843137
Jack's Stands & Marketplaces,Guest,0,Children/Education,Male,102,62,0.607843137
nomiku,Guest,250000,Food and Beverage,Mixed Team,202,115,0.569306931
PopUp Play,Guest,250000,Children/Education,Mixed Team,102,62,0.607843137
Toymail,Guest,300000,Children/Education,Female,102,62,0.607843137
Locker Board,Guest,65000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Sierra Madre Research,Guest,175000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Jackson's Honest,Guest,1250000,Food and Beverage,Mixed Team,202,115,0.569306931
QBall,Guest,100000,Media/Entertainment,Male,23,14,0.608695652
IceShaker,Guest,75000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Brazyn Life,Guest,125000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
No Mo-Stach,Guest,50000,Fashion/Beauty,Female,178,93,0.52247191
Snarky Tea,Guest,75000,Food and Beverage,Female,202,115,0.569306931
Glovestix,Guest,75000,Fitness/Sports/Outdoors,Female,101,60,0.594059406
Grypmat,Guest,120000,Automotive,Male,12,9,0.75
Alice's Table,Guest,125000,Business Services,Female,29,11,0.379310345
SnapClips,Guest,50000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Everytable,Guest,1000000,Food and Beverage,Male,202,115,0.569306931
Bear Bowl,Guest,100000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Beyond Sushi,Guest,750000,Food and Beverage,Male,202,115,0.569306931
Cup Board Pro,Guest,20000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Cave Shake,Guest,250000,Food and Beverage,Female,202,115,0.569306931
The Kombucha Shop,Guest,100000,Food and Beverage,Female,202,115,0.569306931
Vade Nutrition,Guest,350000,Food and Beverage,Mixed Team,202,115,0.569306931
Nui,Guest,300000,Food and Beverage,Male,202,115,0.569306931
Yumble,Guest,500000,Food and Beverage,Mixed Team,202,115,0.569306931
BollyX,Guest,0,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Mother Beverage,Guest,400000,Food and Beverage,Mixed Team,202,115,0.569306931
Sonnet James,Guest,350000,Fashion/Beauty,Female,178,93,0.52247191
SubSafe,Guest,50000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Zorpads,Guest,75000,Fashion/Beauty,Mixed Team,178,93,0.52247191
Zookies,Guest,50000,Pet Products,Male,43,25,0.581395349
Shower Toga,Guest,40000,Lifestyle/Home,Female,159,98,0.616352201
Moink Meat,Guest,400000,Food and Beverage,Female,202,115,0.569306931
Urban Float,Guest,500000,Health/Wellness,Male,48,28,0.583333333
Pricetitution,Guest,50000,Media/Entertainment,Male,23,14,0.608695652
TaDah! Foods,Guest,500000,Food and Beverage,Male,202,115,0.569306931
Knife Aid,Guest,250000,Business Services,Male,29,11,0.379310345
Tailgate N Go,Guest,250000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Gallant,Guest,250000,Pet Products,Male,43,25,0.581395349
Bala Bangles,Guest,450000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Pair Eyewear,Guest,200000,Health/Wellness,Mixed Team,48,28,0.583333333
Safety Nailer,Guest,33333.33333,Lifestyle/Home,Male,159,98,0.616352201
Yellow Leaf Hammocks,Guest,1000000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
