Business,Shark,Invested Amount,Category,Entrepreneur Gender,Total Deals,Closed Deals,Percent Closed
The Red Dress Boutique,Robert Herjavec,600000,Fashion/Beauty,Mixed Team,178,93,0.52247191
The Natural Grip,Robert Herjavec,125000,Fitness/Sports/Outdoors,Female,101,60,0.594059406
The Mensch on a Bench,Robert Herjavec,75000,Lifestyle/Home,Male,159,98,0.616352201
Doorman,Robert Herjavec,250000,Lifestyle/Home,Male,159,98,0.616352201
Lumio,Robert Herjavec,350000,Lifestyle/Home,Male,159,98,0.616352201
Drain Strain,Robert Herjavec,110000,Lifestyle/Home,Male,159,98,0.616352201
Gold Rush Nugget Bucket,Robert Herjavec,60000,Children/Education,Male,102,62,0.607843137
Keen Home,Robert Herjavec,750000,Lifestyle/Home,Male,159,98,0.616352201
PittMoss,Robert Herjavec,200000,Green/CleanTech,Male,11,6,0.545454545
ZinePak,Robert Herjavec,362500,Media/Entertainment,Female,23,14,0.608695652
AirCar,Robert Herjavec,5000000,Travel,Male,11,5,0.454545455
SynDaver Labs,Robert Herjavec,3000000,Health/Wellness,Male,48,28,0.583333333
Shark Wheel,Robert Herjavec,75000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
SIGNALVAULT,Robert Herjavec,100000,Software/Tech,Male,63,34,0.53968254
O'Dang Hummus,Robert Herjavec,25000,Food and Beverage,Male,202,115,0.569306931
X Craft,Robert Herjavec,300000,Software/Tech,Male,63,34,0.53968254
Polar Pro,Robert Herjavec,500000,Software/Tech,Male,63,34,0.53968254
Glow Recipe,Robert Herjavec,425000,Fashion/Beauty,Female,178,93,0.52247191
Sarah Oliver Handbags,Robert Herjavec,83333,Fashion/Beauty,Female,178,93,0.52247191
Hungry Harvest,Robert Herjavec,100000,Food and Beverage,Male,202,115,0.569306931
Rags to Raches,Robert Herjavec,200000,Fashion/Beauty,Female,178,93,0.52247191
Pride Bites,Robert Herjavec,100000,Pet Products,Male,43,25,0.581395349
Trobo,Robert Herjavec,166666,Children/Education,Male,102,62,0.607843137
Tactibite,Robert Herjavec,150000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Night Runner 270,Robert Herjavec,200000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Solemates,Robert Herjavec,500000,Fashion/Beauty,Female,178,93,0.52247191
PupBox,Robert Herjavec,250000,Pet Products,Mixed Team,43,25,0.581395349
Tranquilo,Robert Herjavec,200000,Children/Education,Female,102,62,0.607843137
Doc Spartan,Robert Herjavec,75000,Health/Wellness,Mixed Team,48,28,0.583333333
Sand Cloud,Robert Herjavec,200000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
seedsheet,Robert Herjavec,500000,Lifestyle/Home,Male,159,98,0.616352201
Goverre,Robert Herjavec,66667,Lifestyle/Home,Female,159,98,0.616352201
LocTote,Robert Herjavec,150000,Fashion/Beauty,Male,178,93,0.52247191
Thompson Tee,Robert Herjavec,700000,Fashion/Beauty,Male,178,93,0.52247191
Seventy2,Robert Herjavec,200000,Lifestyle/Home,Male,159,98,0.616352201
Enso Rings,Robert Herjavec,500000,Fashion/Beauty,Male,178,93,0.52247191
Mirmir,Robert Herjavec,700000,Media/Entertainment,Male,23,14,0.608695652
H3o Sports,Robert Herjavec,120000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
RokBlok,Robert Herjavec,500000,Media/Entertainment,Male,23,14,0.608695652
Goat Pet Products,Robert Herjavec,499000,Pet Products,Female,43,25,0.581395349
Radiate,Robert Herjavec,100000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Coinout,Robert Herjavec,250000,Software/Tech,Male,63,34,0.53968254
OA Foods,Robert Herjavec,150000,Food and Beverage,Male,202,115,0.569306931
Butter Cloth,Robert Herjavec,250000,Fashion/Beauty,Male,178,93,0.52247191
Adventure Hunt,Robert Herjavec,150000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Basepaws,Robert Herjavec,125000,Pet Products,Female,43,25,0.581395349
Kymera,Robert Herjavec,500000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Saucemoto,Robert Herjavec,45000,Automotive,Male,12,9,0.75
Aira,Robert Herjavec,166666.6667,Software/Tech,Male,63,34,0.53968254
Supply,Robert Herjavec,300000,Lifestyle/Home,Male,159,98,0.616352201
Bad Birdie,Robert Herjavec,300000,Fashion/Beauty,Male,178,93,0.52247191
Tough Tie,Robert Herjavec,100000,Fashion/Beauty,Male,178,93,0.52247191
RollinGreens,Robert Herjavec,500000,Food and Beverage,Mixed Team,202,115,0.569306931
Mr. Tod's Pie Factory,Daymond John,230000,Food and Beverage,Male,202,115,0.569306931
Classroom Jams,Daymond John,50000,Children/Education,Male,102,62,0.607843137
Soy-Yer-Dough,Daymond John,100000,Food and Beverage,Male,202,115,0.569306931
Treasure Chest Pets,Daymond John,50000,Pet Products,Female,43,25,0.581395349
Gayla Bentley Fashion,Daymond John,125000,Fashion/Beauty,Female,178,93,0.52247191
Hells Bells Helmets,Daymond John,500000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Lipstick Remix,Daymond John,35000,Fashion/Beauty,Female,178,93,0.52247191
Nubrella,Daymond John,100000,Fashion/Beauty,Male,178,93,0.52247191
Qubits,Daymond John,90000,Children/Education,Male,102,62,0.607843137
Wurkin Stiffs,Daymond John,50000,Fashion/Beauty,Male,178,93,0.52247191
First Defense Nasal Screen,Daymond John,250000,Health/Wellness,Male,48,28,0.583333333
Flipoutz,Daymond John,100000,Fashion/Beauty,Mixed Team,178,93,0.52247191
Hillbilly Brand,Daymond John,37500,Fashion/Beauty,Male,178,93,0.52247191
Lightfilm,Daymond John,5000,Automotive,Male,12,9,0.75
Sweep Easy,Daymond John,75000,Lifestyle/Home,Male,159,98,0.616352201
One Sole,Daymond John,500000,Fashion/Beauty,Female,178,93,0.52247191
EZ VIP,Daymond John,75000,Media/Entertainment,Male,23,14,0.608695652
The Last Lid,Daymond John,40000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Litter,Daymond John,40000,Fashion/Beauty,Female,178,93,0.52247191
GoGo Gear,Daymond John,300000,Fitness/Sports/Outdoors,Female,101,60,0.594059406
Dance With Me,Daymond John,50000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Remyxx ReKixx Sneakers,Daymond John,50000,Fashion/Beauty,Male,178,93,0.52247191
Buggy Beds,Daymond John,50000,Lifestyle/Home,Female,159,98,0.616352201
CateApp,Daymond John,37500,Software/Tech,Male,63,34,0.53968254
Rock Bands,Daymond John,50000,Fashion/Beauty,Male,178,93,0.52247191
Cozy Bugs,Daymond John,50000,Fashion/Beauty,Female,178,93,0.52247191
PRO-NRG,Daymond John,250000,Food and Beverage,Mixed Team,202,115,0.569306931
Coffee Joulies,Daymond John,37500,Food and Beverage,Male,202,115,0.569306931
Sound Bender,Daymond John,54000,Software/Tech,Male,63,34,0.53968254
Get Grinds,Daymond John,37500,Food and Beverage,Male,202,115,0.569306931
Jeska Shoe Company,Daymond John,70000,Fashion/Beauty,Female,178,93,0.52247191
Lose 12,Daymond John,125000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
GOBIE H20,Daymond John,300000,Travel,Male,11,5,0.454545455
The Mission Belt,Daymond John,50000,Fashion/Beauty,Male,178,93,0.52247191
Kane & Couture Dog Clothes,Daymond John,75000,Pet Products,Female,43,25,0.581395349
Breathometer,Daymond John,200000,Health/Wellness,Male,48,28,0.583333333
180 Party Cup,Daymond John,300000,Lifestyle/Home,Male,159,98,0.616352201
PurseCase,Daymond John,55000,Fashion/Beauty,Female,178,93,0.52247191
De-Boned Baby Back Rib Steak,Daymond John,300000,Food and Beverage,Mixed Team,202,115,0.569306931
One Life Products,Daymond John,50000,Lifestyle/Home,Male,159,98,0.616352201
Freshly Picked,Daymond John,150000,Children/Education,Female,102,62,0.607843137
Spy Escape and Evasion,Daymond John,150000,Children/Education,Male,102,62,0.607843137
Garage Door Lock,Daymond John,275000,Lifestyle/Home,Male,159,98,0.616352201
Sleeping Baby,Daymond John,200000,Children/Education,Mixed Team,102,62,0.607843137
Bombas,Daymond John,200000,Fashion/Beauty,Male,178,93,0.52247191
Heart Pup,Daymond John,50000,Pet Products,Female,43,25,0.581395349
SunStaches,Daymond John,300000,Fashion/Beauty,Male,178,93,0.52247191
Myself Belts,Daymond John,75000,Children/Education,Female,102,62,0.607843137
Titin,Daymond John,500000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
MagicCook,Daymond John,100000,Food and Beverage,Female,202,115,0.569306931
TurboPUP,Daymond John,100000,Pet Products,Female,43,25,0.581395349
BeverageBoy,Daymond John,50000,Food and Beverage,Male,202,115,0.569306931
Scholly,Daymond John,20000,Children/Education,Male,102,62,0.607843137
Emazing Lights,Daymond John,325000,Media/Entertainment,Male,23,14,0.608695652
acqua vault,Daymond John,75000,Lifestyle/Home,Male,159,98,0.616352201
